no,brand,model,year,zone,url
1,Land-Rover,Velar R-Dynamic S 340PS,2023,Toluca,https://www.google.com/search?q=Land-Rover+Velar+R-Dynamic+S+340PS+2023+Toluca+seminuevo
1,Land-Rover,Velar R-Dynamic S 340PS,2023,CDMX,https://www.google.com/search?q=Land-Rover+Velar+R-Dynamic+S+340PS+2023+CDMX+seminuevo
1,Land-Rover,Velar R-Dynamic S 340PS,2023,Metepec,https://www.google.com/search?q=Land-Rover+Velar+R-Dynamic+S+340PS+2023+Metepec+seminuevo
4,BMW,M5 (Hibrido/Automatico),2025,Toluca,https://www.google.com/search?q=BMW+M5+%28Hibrido%2FAutomatico%29+2025+Toluca+seminuevo
4,BMW,M5 (Hibrido/Automatico),2025,CDMX,https://www.google.com/search?q=BMW+M5+%28Hibrido%2FAutomatico%29+2025+CDMX+seminuevo
4,BMW,M5 (Hibrido/Automatico),2025,Metepec,https://www.google.com/search?q=BMW+M5+%28Hibrido%2FAutomatico%29+2025+Metepec+seminuevo
5,BMW,X4 xDrive 30i (Automatico),2025,Toluca,https://www.google.com/search?q=BMW+X4+xDrive+30i+%28Automatico%29+2025+Toluca+seminuevo
5,BMW,X4 xDrive 30i (Automatico),2025,CDMX,https://www.google.com/search?q=BMW+X4+xDrive+30i+%28Automatico%29+2025+CDMX+seminuevo
5,BMW,X4 xDrive 30i (Automatico),2025,Metepec,https://www.google.com/search?q=BMW+X4+xDrive+30i+%28Automatico%29+2025+Metepec+seminuevo
6,Tesla,Model Y de Autonomía Mayor,2024,Toluca,https://www.google.com/search?q=Tesla+Model+Y+de+Autonom%C3%ADa+Mayor+2024+Toluca+seminuevo
6,Tesla,Model Y de Autonomía Mayor,2024,CDMX,https://www.google.com/search?q=Tesla+Model+Y+de+Autonom%C3%ADa+Mayor+2024+CDMX+seminuevo
6,Tesla,Model Y de Autonomía Mayor,2024,Metepec,https://www.google.com/search?q=Tesla+Model+Y+de+Autonom%C3%ADa+Mayor+2024+Metepec+seminuevo
7,MINI,Cooper Convertible C (Aut),2026,Toluca,https://www.google.com/search?q=MINI+Cooper+Convertible+C+%28Aut%29+2026+Toluca+seminuevo
7,MINI,Cooper Convertible C (Aut),2026,CDMX,https://www.google.com/search?q=MINI+Cooper+Convertible+C+%28Aut%29+2026+CDMX+seminuevo
7,MINI,Cooper Convertible C (Aut),2026,Metepec,https://www.google.com/search?q=MINI+Cooper+Convertible+C+%28Aut%29+2026+Metepec+seminuevo
8,BMW,X4 M40i Automatico,2021,Toluca,https://www.google.com/search?q=BMW+X4+M40i+Automatico+2021+Toluca+seminuevo
8,BMW,X4 M40i Automatico,2021,CDMX,https://www.google.com/search?q=BMW+X4+M40i+Automatico+2021+CDMX+seminuevo
8,BMW,X4 M40i Automatico,2021,Metepec,https://www.google.com/search?q=BMW+X4+M40i+Automatico+2021+Metepec+seminuevo
9,MINI,Countryman Classic (Aut),2023,Toluca,https://www.google.com/search?q=MINI+Countryman+Classic+%28Aut%29+2023+Toluca+seminuevo
9,MINI,Countryman Classic (Aut),2023,CDMX,https://www.google.com/search?q=MINI+Countryman+Classic+%28Aut%29+2023+CDMX+seminuevo
9,MINI,Countryman Classic (Aut),2023,Metepec,https://www.google.com/search?q=MINI+Countryman+Classic+%28Aut%29+2023+Metepec+seminuevo
10,KIA,Seltos 1.6 LX M/T,2022,Toluca,https://www.google.com/search?q=KIA+Seltos+1.6+LX+M%2FT+2022+Toluca+seminuevo
10,KIA,Seltos 1.6 LX M/T,2022,CDMX,https://www.google.com/search?q=KIA+Seltos+1.6+LX+M%2FT+2022+CDMX+seminuevo
10,KIA,Seltos 1.6 LX M/T,2022,Metepec,https://www.google.com/search?q=KIA+Seltos+1.6+LX+M%2FT+2022+Metepec+seminuevo
11,Volvo,XC60 Ultimate Dark T8 PLUG-IN HYBRID,2023,Toluca,https://www.google.com/search?q=Volvo+XC60+Ultimate+Dark+T8+PLUG-IN+HYBRID+2023+Toluca+seminuevo
